userName,score,at,content
Andhika Putra Eka Wijaya,1,2022-07-09 7:14:15,"Berulang kali masukin id dan password tp tidak bisa login padahal id dan password sudah benar, id dan password tidak ada masalah, laporan ke cs bri pun cuma disuruh update atau reinstall tp tetep tidak ada perubahan"
Rizky Novianadinata,5,2022-07-09 6:56:52,"Maaf saya kasih b.1 soalnya ko alasan nya tidak ada koneksi terus padahal kwota banyak dan di alihkn ke wifi juga ttp gk bisa,mohon lebih di tingkatkan lagi biar lebih maju,susah klo ada keperluan mendesak klo kaya gini terus.."
Ariek Bukhori,5,2022-09-02 14:00:00,Bagus dan lancar bertransaksi lewat brimo
Mariyanto Hadi,1,2022-07-09 5:23:03,Kenapa sekarang g bisa masuk menu..hanya bisa masuk di fastmenu yg g pernah disetting sebelumnya... Sangat mempersulit...ada masalah suruh telpon yg habisin pulsa g jelas...perbaiki lah...
Patyarini Ritonga,2,2022-07-09 5:08:25,"Saat migrasi dr sms banking ke brimo, gagal register krn saat upload video selalu gagal, sdh lgsg dtg bbrp kali ke BRI unit dan dibantu CS utk register juga msh blm berhasil. Akhirnya sampai skrg nggak pake aplikasi ini."
Damianus kopong Waton,5,2022-07-09 5:07:23,"Akun saya pernah kena blokir terus sudah di ajukan kepihak bank dan sudah diperbaiki,Namun saat mau login ke akun saya malah Link SMS nya tidak pernah dikirim dinomor telpon saya biar biza masuk lagi ke Akun saya mohon bantuannya."
Siti Amelia,3,2022-07-09 5:06:45,Ini aplikasinya kenapa ya ? Soalnya ketika mau log in tiba tiba gak kuat buat bukaa. Keluar lagi. Sampe saya uninstall dan install kembali pun tetep gak bisa.
Winda WulanDari,5,2022-07-09 3:51:47,"Kenapa saya tidak bisa buka ya, pada hal jaringan intrnet bagus, pakai wifi malahan tapi tetap tidak bisa, udah update juga, tololng di perbaiki segera mau transaksi jadi tidak bisa karena tidak bisa masuk alasan jaringan internet tidak ada pada hal saya pakai wifi yang lain saja di akses bisa, tolong pihak bri di tindak lanjuti segera"
HERRY SUTOYO,1,2022-07-09 2:50:51,"cepat, simple, bikin semua jadi mudah dan praiktis"
Agus Triana,5,2022-07-09 2:24:18,Sangat mudah di oprasikan walau awal awal sangat sulit saat mendaftar. Btw... Bagiku BRImo sangat membantu banget. Moga lebih di tinggatkan lagi kinerjanya.
Ramsesparanjuan Siregar,1,2022-07-09 1:54:10,"Brimo akses cepat, mudah dan bagus tanpa terkendala...brimo is the best"
Nizar Zulfi,1,2022-07-08 23:53:07,"kenapa setiap mau buka menu keluar dan tidak bisa masuk ke sistem, padahal koneksi internet dan wifi stabil bagus, mohon segera di perbaiki."
Dewi Haryati,5,2022-09-04 2:11:59,Suka banget sangat memudahkan 👍
Natal Desnilayanti,1,2022-07-08 17:31:41,"Setelah bertahun2, baru ini coba pakai BRI. Aplikasi Brimo nya sangat sangat Bad.. Daftar dan upload video berulang2 tidak berhasil, bahkan di bantu oleh petugas CS nya pun, petugas nya menyerah. Untung petugas CS nya ramah."
Gempar Panggih Dwi Putra,1,2022-07-08 16:56:33,Bintang 1 dulu. Saya kok gk bisa masuk dahsboard ya habis login? Selalu balik ke landing page tiap berhasil login. Saya login di ib aman aj. Mohon tanggapannya. Terima kasih.
Do We,5,2022-09-04 2:25:07,"Transaksi mudah, simple dan on the track..."
Tomy Irawan,5,2022-07-08 14:17:40,"Mohon tambahkan kotak masuk/resi dari setiap trnsaksi... Agar lebih mudah untuk record transaksi... Karena jika menggunakan fitur mutasi, info ya kurang detail.."
tuarita izton,1,2022-07-08 14:12:06,"Setiap mau perekaman video selalu saja gagal ,padahal jaringan internet sangat stabil, lanjut ke WA nya operator, malah kurang memuaskan.. karna WA pake akun bisnis"
Turyadi,5,2022-07-08 13:09:34,Aplikasinya lancar dan mudah digunakan untuk bertransaksi dan fiturnya sangat komplit setelah di perbarui dan aplikasinya sangat membantu sekali
Watiirn 11,3,2022-07-08 12:06:01,"Kenapa ya gak bisa masuk,pas mau daftar lalu foto KTP nya gak bisa di teken,padahal udah pake WiFi,pake data sendiri."
Bang Rome,5,2022-07-08 11:13:19,"Sewaktu ingin bayar e-tiket, koneksi gagal, maaf ada kendala di sistem kami, dll... Jika sedang ada masalah koneksi atau server atau apalah, tolong dikasih notifikasi atau warning di halaman login, jadi user tidak telanjur mengakses apalagi telanjur melakukan transaksi tetapi malah gagal, terimakasih Saya kasih bintang 5, semoga selalu lebih baik dan lebih baik lagi, karena BRI diandalkan banyak orang, terimakasih"
oge Alief,1,2022-07-08 11:07:44,hari ini setengah hariana sibuk buat akun brimo tapi mau buat akun aja susah banget rekam video gunakan tidak ada jaringan padahal paket baru isi pulsa juga masih ada..coba pakai wifi sama juga lieur jadinya..kalau udah bisa baru naik bintang
I Luh Putu,4,2022-07-08 9:24:55,"Kenapa brimo tidak bisa login lagi..? Dulu pas upgrad, enak pake brimo. Sekarang malah sama sekali tidak bisa di gunakan. Karena pengunduhan otomatis terus... Tolong dong min, cepet selesaikan.. Biar bisa transaksi lagi. Makasih"
Danang Efendi,5,2022-07-08 9:07:12,Brimo bagus sih menurutku... Bri itu enak nya merakyat.. yang aku jadi suka sama BRI enak gitu.. untuk tampilan apknya di menu utama bagusan yang dulu sih menurutku.. tapi untuk lainya udh bagus... Dan bug di apk nya juga udh agak menghilang.. cumak tolong untuk kedepanya saya harap BRI terus berkembang dalam dunia perbankan.
Yunita Rahayu,1,2022-07-08 8:18:12,"Kenapa gak bisa buat daftar. Jaringan ok. Wifi ok. Pakai ke dua""a sama aja gak bisa daftar. Priksa koneksi, priksa koneksi mulu yg d salahin. Padahal semua koneksi internek bagus semuaa. Ini gimana kalo gagal"" teruss."
zain ipin,5,2022-07-08 7:44:03,"Aplikasinya sudah bagus cuma ada sedikit bug saja dibagian menu aktivitas kadang suka error, Dan kalo bisa dibagian pengaduan pelanggan ditambahi menu untuk complain kalo setor tunai lewat atm,tetapi uang tidak masuk kerekening, Biar tidak repot"" laporan manual ke cs lagi.. Terima kasih......"
Yudhie Sby,1,2022-07-08 7:14:44,"Mudah digunakan, fiturnya lengkap, tampilan menarik dan bagus"
Dimas Afrillio C N_FBS,3,2022-07-08 6:31:39,"Brimo akses cepat, mudah dan bagus tanpa terkendala...brimo is the best"
Septian Andi Prasetyo,1,2022-07-08 6:00:42,"Pada saat melakukan proses perekaman video selalu gagal. Padahal koneksi bagus, suara jelas, video jelas. Sudah banyak orang yang komplain tentang berbagai masalah lain di aplikasi ini namun tidak segera diperbaiki dengan cepat. Sebagai pengguna cukup merasa kecewa dengan pelayanan yang diberikan dari Aplikasi ini"
V0yezzz Grey,1,2022-07-08 5:43:30,"Gagal terus mau up video udah dua kali lagi, katanya gak ada koneksi internet padahal WiFi lancar² aja gak ada masalah. Minta ulang verifikasi email pun gak bisa"
Jihan Putri31,2,2022-07-08 5:04:43,"Knpa setelah update , jadi tidak ada daftar Menu nya , saya mau tranfer gk bisa mau byar briva juga gk bisa , beli token listrik juga gk bisa .. Apa ada yg sama dengan saya?"
Abdul Zaelani,1,2022-07-08 4:20:00,"cepat, simple, bikin semua jadi mudah dan lancar"
adi budiman,4,2022-07-08 4:06:11,"bagus buat transfer, gak repot ke atm. cuman sangat kurang klo di transfer dari rekening orang lain di brimo nya tidak ada info pemberitahuan uang masuk, jadi tidak tau orang sudah transfer ato belum"
yudha samsudin,1,2022-07-08 3:50:23,"Asu gagal wae verifikaksi video pas mau di daftar lagi, pas mau pake kenapa ga bisa masuk sebelumnya bisa di pake pke hp versi 6 . mau buat ATM habis di semua BRI tiadk semua orang memililiki HP yg bagus. Asu"
Fitri Afiatus,5,2022-07-08 3:26:19,"Terbantu banget, g repot, tapi ada tambahan biaya yg dulunya g ada, mungkin bisa diilangin biaya tambahan nya. Meski cuma 500-1000, tpi berarti banget klo lagi tongpes 😁"
Joniantotandi bela,5,2022-07-08 2:51:45,Simple dan keren krn tdk perlu lagi masuk di aplikasi sms seperti bank lain untuk tranfer atau cek saldo tpi dari aplikasi brimo ini langsung selesai tanpa ribet yang penting sudah punya akun bri semua beres. 😍😘👍💖💖💖 dan no rek yg pernah kita kirimin uang tetap tersimpan di aplikasi biarpun gunakan hp lain jadi tdk perlu repot2 cari nomor rek org yg pernah kita kirimin uang. Pokoknya BRImo mantap dan keren. 😘😘👌👌👌👍👍👍👍
Agus Haerudin,1,2022-07-08 2:15:18,"Maaf saya kasih bintang 1. Tadinya pake brimo ini saya lancar dari segi apapun dari transfer, pembayaran briva, pembelian paket pulsa atau token, dll. Tapi kenapa pas saya mau login tiba2 aplikasi keluar sendiri dan ada keterangan (sayangnya brimo telah berhenti) terus aja seperti itu walaupun sudah di upgrade. Mohon info penjelasanya. Makasih"
Ayu Widya Ningsih,5,2022-07-08 2:04:34,"Alhamdulillah seneng banget berhasil tanpa ada kendala, awalnya ragu mau download krn liat ulasan nya tapi pas di coba Alhamdulillah berhasil 😍😍😍 jadi mempermudah tanpa harus ke ATM dehhhhhh .... Thank you so much 🙏🏻😇😇"
dita mifta,1,2022-07-08 1:57:40,"Uda beberpaa kali yg lalu dibuat jengkel sm brimo. Padal uda update terbru, kdg tbtb tdk bisa muncul saldo, trs uda 4hri ini Gabisa dibuka tiap uda login stuck warna putih, laporan di twitter katanya memori penuh internet tdk stabil, padal dipake aplikasi apapun no rewel kyk brimo. Trus gmn mau tranksasi jd susah ini!!!!!! Org jualan online nih penting bgttttttt cek mutasi d apk, tlong segera dibenerin biar gk payaahhhh nih"
Sugeng Arianto,5,2022-07-08 1:49:42,Mohon bantuanya.. Aplikasi Brimo saya setelah update yg bisa dipake hanya fitur yg di fast menu saja.. Untuk masuk cek saldo dplk dll gak bisa masuk.. Padahal user id & pasword sudah benar..
Joni Maizar,4,2022-07-08 0:53:52,"BRImo sangat membantu, sangat mudah serta sangat cepat dalam bertransaksi. saran, untuk catatan rincian uang masuk dan uang keluar mohon untuk di perbaiki, di permudah dan di lengkapi. serta untuk download rekening koran nya juga.🙏👍👍👍"
Andi Ibnu Wibowo,3,2022-07-08 0:26:24,Tampilannya sudah bagus. Tapi dari awal sampai sekarang catatan pemasukan masih tidak terbaca yang terbaca hanya catatan pengeluaran. Belum bisa diperbaiki sampe sekarang
Diah Noerhayati,2,2022-07-07 23:31:30,aplikasi sering sekali error. saya jadi kesulitan bertransaksi padahal maunya pakai brimo supaya tidak ke atm. Ini sy reinstall tapi belum bisa login lagi krn katanya logout yg sebelumnya belum sempurna. Ini gimana sih ya???
Cecep Gendi,5,2022-09-02 16:15:48,Mantap jdi serba mudah untuk bertransaksi....
Dedy Kuswandi,4,2022-07-07 23:09:19,"Katanya transfer bisa menggunakan metode BI Fast yang diklaim makin murah, mudah dan real time. Tapi setelah update aplikasi malah tidak ada menu untuk metode transfer dengan BI Fast, apakah slogan itu setengah hati?"
Hutasoid Syah,1,2022-07-07 17:51:29,"Sudah seminggu lebih saya mendaftar sampe sekarang gk bisa. Pas di swafoto gagal terus. Trus setelah saya update, saya login akun anda ter blokir. Gak puas dengan pelayanan kalian. Membuat kartu ATM kartu nya kosong di suruh nya buku tabungan harus lewat ini lah itu lah sampe sekarang gak ada gunanya nih buku tabungan.."
Anang Sulamto,5,2022-07-07 14:41:55,"Saya sangat suka dgn fitur baru bayar pinjaman BRI, ini sangat memudahkan untuk pembayaran biaya angsuran, kita bisa mencicil sedikit demi sedikit, jadi tidak berasa berat untuk angsuran bulanan. Terimakasih BRI untuk fitur yg sangat membantu ini."
kim Tiara,1,2022-07-07 14:04:21,"Setelah kemarin d apdet, malah terhenti sendiri mulu setiap udah login. Gimana ceritanya ini? Mau bayar sopi atau bayar pulsa jadi gak bisa instan dah, apa lagi kalau mau tf😒 Tau gitu mending gak d apdet"" Dah appsnya."
Ardy S Rush,5,2022-07-07 11:26:03,Dengan adanya aplikas BRImo BRI semua menjadi mudah.tidak membutuhkan waktu banyak.dan bisa menghemat waktu.semua berkaitan dengan pebiayaan atau transfer dipermudah.semoga berjalan dengan baik.
M.nasyrul Ulum,1,2022-07-07 9:55:01,"Sangat cepat,mudah dan dimana saja bisa di lakukan transaksi"
maya metra,1,2022-07-07 8:39:50,"Sangat membantu,dan mudah di mengerti. senang deh"
Ridho Baihaqi,1,2022-07-07 8:30:00,BRImo Mantap .. mudah dan cepat ..
Mue Eza,5,2022-07-07 8:09:42,"Mantap kali ini bank sy salut gampang banget pengakuannya,asalkan kita ikutin petunjuknya dengan benar pasti semua bisa.sy rekomendasi kan deh kalian harus pake nih BRI buat tf atau belanja dan byr apapun jd mudah.semoga bank bri makin sukses ya ke depannya,karna tdk di persulit bagi nasabah yg baru mulai buka rekening."
ujang Jenal,1,2022-07-07 8:02:23,Saya mau daftar udah ada 1 bulan saya coba terus tiap minggu..tapi ttp ga bisa di situ muncul sinyal tidak stabil .padahal sinyal sudah oke bagus...saya coba pake wifi ttp aja muncul nya sinyal tidak stabil...tolong di perbaiki lagi dong......
Nartan Spt,2,2022-07-07 7:42:20,"Kenapa setap mau ambil rekaman selalu gagal..lebih dari 20 kali ngulang dari awal masih sama...brimo macet terus yang muncul fi notifikasi saya? Hapus,donlod,hapus,donlod lagi tetap aja ga bisa bikin akun.!,😭😭"
Mar Yanto,5,2022-07-07 7:24:55,"Knp aplikasi BRI mo sy gak bisa di buka,, pdhal sinyal bagus, paswod betul tp tetep gak bisa di buka,,, Setelah sy perbarui malah aplikasinya gak bisa di buka,, payah nih,,, bukan karena jaringan,, ini karena aplikasinya,, mohon di perbaiki dong aplikasinya,, Giliran mau donload aplikasi lg susah bngt,,"
Ali Rahman,1,2022-07-07 6:16:22,"Gak bisa login.. Jadi hapus lagi aplikasinya, terus mau login lagi gak bisa muncul pesan, ""sesi login belum berakhir"""
Aryestu Sabara,1,2022-07-07 5:53:50,Aplikasi tdk bisa di daftar. Setelah update makin parah gak bisa apa-apa sudah aplikasi gak bisa di gunakan. Bukannya mempermudah mlahan gak bisa di daftar.
Muchammad Farid,3,2022-07-07 4:10:32,"Sebenarnya saya sudah nyaman menggunakan aplikasi Brimo, tetapi kok sudah 3 hari ini saya tidak bisa login menuju ke dashboard aplikasinya, setiap memasukkan username dan password akan kembali lagi ke halaman Login. Itulah yang membuat saya kesal, kalau mau memperbaiki aplikasi itu seharusnya diberikan notice di media sosial kalai aplikasinya memang masih tahap perbaikan. Tolong ya dimengerti, untung saya masih ngasih bintang 3, coba kalau bintang 1. Tolong ditindaklanjuti!"
ashar brandalz,1,2022-07-07 3:54:54,"Nih pihak bank bri maksa banget pake nih apk baru mau daftar aja susah banget bilangnya jaringan internet tdk tersambung padahal udah pake seluler, wifi, hotspot mana udah pindah² tempat termasuk di kantor bank bri nya tetap juga gak bisa, mana stok kartu atm udah gak ada di cabang maupun unit , bukanx membantu hanya tambah nyusahin👎👎👎👎"
Amelia Rosa,2,2022-07-07 3:06:05,Ini cara save no rekening gmn sih? Misal syaa mau trf ke rekening lain udh daftarin rekeningnya ko ga muncul sih. Yg muncul cm rekening yg transaksi terakhir aja -__- jadi kalo mau trf ke rekning yg seminggu lalu hrs masukin rekeningnya lagii. Gmn sih? Apa aku yg gaptek ya? Kl ada pencerahan aku naikin bintangnya. Thx
rEd_L19ht,1,2022-07-07 2:21:02,Saya buka rekening tapi tidak dapat kartu ATM. Pihak staff bank bilang stok kartu ATM sedang habis. Saya daftar brimo utk memudahkan proses transaksi/terims selalu gagal di tahap upload rekaman wajah. Padahal koneksi sangat lancar. Harus bagaimana lagi? Masa' saya harus bolak-balik ke bank utk transfer/ambil uang?
Abdul Wachid 1008,1,2022-07-06 22:38:53,Sangat tidak bagus aplikasi brimo.. Dari jam 6 sore dampai jam 5 subuh gak bisa dibukak. Mau transfer malah repot 😇😇😇. Percuma gonta ganti aplikasi lebih baik perbaiki pelayann malah lebih jelas..
Nur Halimah,2,2022-07-06 22:37:52,"Dari kemarin setiap mau login udah masukin username, pw selalu keluar lagi keluar lagi harus masukin username dan pw dari ulang,udah dicoba berkali kali tetep aja ga bisa, udah coba pake wifi, pake paket data tetep ga bisa juga mau login, diupdate juga sudah, Gimana si ini!"
Ade Susilawati,5,2022-07-06 19:26:01,Mempermudah segala urusan. Dimana pun dan kapan pun bisa melakukan transaksi. ngak perlu ribet ke atm atau ke agen link lgi. lebih hemat. kalau Mbanking setiap transaksi pake pulsa.
Andy m. Yahya Yahya,4,2022-09-05 1:51:51,"Cepat, bagus dan akses mudah"
Nanda dan Apri,5,2022-09-04 19:38:26,Keren cepat hebat bagus sekali
M.Asyraaf Alfarizi,1,2022-07-06 15:15:47,"Saya sulit mendaftarkan diri untuk membuat akun di aplikasi brimo ini .menurut saya, aplikasi ini masih banyak kelemahan dan juga menyusahkan masyarakat..mohon bagi bri agar bs memperbaiki aplikasi ini,terutama tolong agar masyarakat mudah dalam melakukan operasional dr aplikasi ini.. Bisa di contoh seperti m-banking BCA..simple dan mudah d operasionalkan..nggak perlu pakai verivikasi muka segala..ribet!!!!"
Alfin Aldrin Manuhutu,5,2022-07-06 13:50:03,"Ini BRI kenapa ya, isi pulsa aja ga bisa, sy bayar pajak lewat internet banking pas mau di cetak malah eror, tapi status pembayaran berhasil. Giliran cek catatan aktivitas satupun ga ada aktivitasnya padahal aktivitas sy banyak terjadi. Sy mau cek pembayaran saya karena disitu ada no NTPN yg akan sy gunakan untuk lapor pajak, tapi tidak bisa. Konfirmasi CS disuruh ke kantor cabang terdekat, giliran ke kantor cabang, yg didapat bukan bukti print transaksi malah rekening koran yg dikasih"
Rizkie Aprilia,5,2022-09-02 10:20:30,Sangat mudah dan cepat
Agung Cahyono,5,2022-09-02 8:01:53,"Alhamdulillah lancar kaya, menu simpel mudah digunakan"
Dian Farida,1,2022-07-06 12:43:28,"Aplikasi BRI sedang tidak baik2 saja , Beberapa kali saya login gak bisa dikarenakan user id terblokir , entah kenapa , padahal udah bener loh sampe harus ganti pasword beberapa kali juga ., Skrng adik Sy TF malah blm masuk2 uangnya msh proses terus , entah ada apa dengan aplikasi ini"
Rafli Andrian,1,2022-07-06 11:23:38,"Ok membuat transaksi lebih mudah dan efisien, mudah digunakan, fiturnya lengkap"
djatmiko hidajat,5,2022-07-06 11:18:29,"Sudah cukup baik, tpi bisa lbih baik jk seperti flip. Historis rek yg sudah pernah didaftarkan mjd tujuan trf tetap ada, tidak bayar, sekali trf bisa lbih dr satu tujuan Rek..."
my turtle,1,2022-07-06 5:31:38,"Jelek bangeett...dulu sebelum update brimo,bisa dipakai terus,setalh update otomatis malah ga bisa dipakai,sdh ke cs katanya untuk pengguna hp oppo n vivo bbrp spek ga bisa..ga rekomen dh..buruk..perbaiki lagi sistem brimonya"
Dian Ardiansyah,5,2022-07-06 5:28:09,"Knapa ya BRImo nya gak bisa login , udah beberapa kali di coba masih ttep gk bisa. Pake data pake wifi ttp gk bisa . Mohon bantuan nya"
Luqman Hanif,1,2022-07-06 4:29:33,"Aplikasi cacat, udah daftar sampai tahap rekaman video, gagal terus, lalu ada notif email bahwa e-KYC berhasil, tapi tidak bisa lanjut proses tahap 4. Lalu update aplikasi dan diminta mengulang proses dari awal"
Atika Faozah,1,2022-07-06 4:29:32,"Gagal 10000 X.bikin foto susah,selesai foto masukin email berkali2 gagal,,,,mau bikin vidio aplikasi keluar mulu,,,k bank juga bikin kayak gini,,alias gagal mulu,,,harus kayak mana si aq nya padahal internet q oke pake banget,berarti yg bermasalah kan BRI nya,aplikasi bri NYA."
Onni Harimurti,5,2022-07-06 3:03:35,"aplikasi ringan, mudah di gunakan gini kok dibilang susah, ribet. hoe....lo yang kasih ini apk bintang 1-3. sebenernya yang susah, ribet itu bukan apk BRImo tapi hidup lo. maaf ye min kalo kasar, dipahami bos jangan bisa hanya menyalahkan yang belum tentu juga dia pakai apk BRImo. mungkin cuma pengen spam."
Ahmad Jajuli,1,2022-07-06 2:45:55,"Bagus, Sangat menolong dan terhubung dengan pembayaran toko online."
Anak Lanang,1,2022-07-06 2:29:51,Aplikasi yang sangat bagus dan sangat membantu untuk semua transaksi. Good job 😍👍
Muhamad Handoko,1,2022-07-06 0:49:43,Fitur lebih lengkap bagus dan efisien...
Etika Ayu,2,2022-07-06 0:43:30,"Saat mau up video selalu bilang tidak ada koneksi internet, padahal udah pake wifi, data lancar aja, sampe ngetake video berulang-ulang masih tidak bisa, gimana nih, mau daftar aja susah bgt 😪"
Retno Pramesti,1,2022-07-06 0:36:41,"Setiap mau log in selalu user id diblokir, sampek capek mengubah paswod log in. Mending pakek BRI mobile yg bener- bener mempermudah transaksi maupun log in. Lama- lama pindah bank kalau gini mah"
Creative maker,2,2022-07-05 23:45:55,"Setelah Update malah gagal login ke brimo. tampilan putih dan kembali ke menu login. clear data cache sudah , restart hp sudah. hasil tetap sama. lantas bagaimana kami bertransaksi ?"
Muhammad Izan Ulil Amri,2,2022-07-05 19:47:35,"Mau daftar buka rekening baru udah isi data sesuai ktp, foto ktp sudah lewat online, pas sudah isi semua kolom klik lanjut ada peringatan compare name failed terus, pdhal udah bener semua. Knpa ya?"
ely setiawan,1,2022-07-05 17:14:44,"Tampilan ui tidak konsisten kountol, tiap update tampilan selalu berubah bikin bingung pengguna. Terus ini bug dari versi versi sebelumnya tidak pernah di fix,saat total saldo dilayar awal sering ngebug. saya sudah klik ikon mata tapi yang tampil hanya ikon ( - ) refresh sudah logout terus login lagi hasil sama padahal jaringan 100%lancar . Developernya payah."
Sinta Novita,1,2022-07-05 15:57:47,"mau bikin atm katanya kosong ,disuruh pake apk brimo .dan sampek sekarang mau daftar masih tidak bisa ,tetep gagal pas upload video. kpn diperbaiki sistemnya ,udah lama lohh ini gak bisanya ????"
Majelis ReuploadTV,1,2022-07-05 14:23:26,"Sudah mendaftar rekening online sudah melakukan pembayaran pertama tetapi username dan pasword salah padahal sudah dimasukan dengan benar, lalu jaringan dibilang bermasalah padahal jaringan normal, raib duit 50rbu telek"
Barokah Diani,1,2022-07-05 14:06:29,"Aplikasi nya klo di buka selalu ""brimo terhenti"" ga bisa d login pdhl sinyal bagus trus gimana nasib uangku klo g bsa d buka mana g ada kartu atau buku alternatif lain..... tolong di bntu krena kasian uangnya kl ilng"
TEMU ANUGERAH,5,2022-07-05 12:35:47,"Brimo keren banget. Mempermudah transaksi,tanpa harus ke ATM atau bank. Dan tanpa pakai pulsa,asal ada kuota bisa. Ahhh mantappppppp Klo ada bintang 10 pasti saya kasih bintang 10"
Don Robin,5,2022-07-05 12:01:13,"Semakin buruk sistemnya. Mau login aja. ""Tidak ada koneksi internet"". Padahal koneksi bagus. Bahkan pake wifi aja masih sulit login."
Mhd Wahyu NZ,5,2022-07-05 11:04:18,"Karena sudah ditingkatkan hingga bisa digunakan saat mode pengembang diaktifkan, maka ulasan ini juga diubah. Terima kasih."
Akun KW,2,2022-07-05 10:40:56,Nonton youtube maen game selalu lancar ko kenapa buka apk ini slalu gagal...? Tolong di perbaiki apk nya...!!! Dan kenapa respon dari pihak BRI selalu berkata begitu tapi kenyataan nya ...???
Fajar Nandung,3,2022-07-05 8:32:58,Semenjak pembaruan kenapa id saya tidak Bisa login di brimo.. Semua unser name and password sudah benar dan akir nya di blokir.. Tidak jelas apa permasalahan nya..
Muslimah Muliani,5,2022-07-05 8:22:06,Sangat membantu dalam bertransaksi. namun untuk ewallet hanya bisa digunakan ke linkaja dan shopepay. untuk top up dana mengapa tidak bisa
Mulyani Artati,3,2022-07-05 8:15:45,"Selesai update versi terbaru...eh malah gak bisa login... Jaringan bagus,kuota banyak,penyimpanan ok...tp gk bs login.. Salahnya dmn ya...???"
sandi pratama jaya,2,2022-07-05 8:14:02,"Apknya sangat membantu untuk transaksi tagihan atau pulsa lebih mudah tanpa harus keluar rumah, tapi minusnya di t4 saya apknya ga muncul di layar harus kita cari di gogleplaystore"
Irwantono Setia Hadi,5,2022-09-02 5:17:54,Sangat mudah dan cepat
Ade Rudi,5,2022-09-02 5:17:53,Suka banget pake Brimo lebih mudah untuk melakukan pembayaran dan transaksi
nugroho ardyanto Wibowo,1,2022-07-05 7:33:04,"Kecewa sekali. Setelah update daya malah tidak bisa masuk ke aplikasi. Setelah masukkan username dan password selalu muncul peringatan brimo telah berhenti. Sudah instal ulang, bersihkan cache, sama saja. Padahal sebelum update selalu berjalan lancar. Setelah update malh jadi begini. Kesalahan besar mengupdate aplikasi brimo."
Denika Natalia,5,2022-09-04 14:25:19,"Cepat, Bagus dan mudah"
irama rachmanda,5,2022-09-02 7:00:59,"penggunaan nya sangat mudah & cepat,"
Budi Santoso,5,2022-09-02 5:50:22,Cepat tepat mudah dan aman
Khoirul Amali,5,2022-09-02 5:43:17,"aplikasi ini sangat bagus, dan sangat membantu...."
Aprilia Elsi,1,2022-07-05 5:17:14,"Maaf sy berikan bintang 1, krn tiap upload video selalu gagal koneksi pdhl jaringan sy bagus, pakai WiFi juga tetap gagal mengupload. Tolong masalah ini segera ditangani, sy liat review nasabah lainnya dan masalahnya mirip2 seputar gagal mengupload video verifikasi. Jadi tolong diperbaiki🙏"
anya fugher0420,5,2022-07-05 2:35:55,Baik dan tidak mengecewakan dengan fasilitas nya. Kekurangannnya hanya notifikasi uang masuk belum tersedia.
Maria Ulfa,1,2022-07-05 1:57:40,"Terkendala sama pengiriman link sms... Padahal sinyal udah ok, pulsa juga ada apalagi coba yang salah??? Kok sampai tidak terkirim link sms.nya padahal sudah di kirim ulang berkali kali"
Dhany Agung,5,2022-07-05 1:36:30,"Saat up video selalu gagal padahal sudah memiliki jaringan yang bagus dan stabil tapi setelah loading selalu keluar notifikasi ""koneksi tidak setabil silahkan coba lagi"" udah dicoba 15 kali hasilnya sama saja"
Anastasia Anastasia,1,2022-07-05 0:25:52,"Ampun dah,, setiap mau buka aplikasi selalu user terblokir,, tolong dong di perbaiki lagi... Kalo pas lagi butuh banget kan jadi repot kitanya..."
Ade Nufi Prasetia,5,2022-07-04 23:56:31,"Sekedar masukan saja, kalau bisa BRImo ditambah fitur tabungan emas karena trend millenial lebih memilih uangnya disimpan dalam bentuk saldo emas daripada ditabung dalam bentuk saldo uang dan beberapa bank sudah melakukan itu, alasannya simpel emas itu tidak terpengaruh inflasi sedangkan uang bisa jadi nilainya semakin hari semakin kecil... ditunggu ya untuk update selanjutnya🤝"
Dani Herawati,3,2022-07-04 22:47:58,Sering tiba2 akun terblokir padahal gak lupa sama kata sandi. Alhasil mesti bolak balik reset password baru terus. Tolong diperbaiki untuk trouble seperti ini. Terimakasih.
Renaldy Febrian,5,2022-07-04 21:13:36,Aman dan nyaman. 
Abi Ramdhani,1,2022-07-04 20:01:00,"Sudah Diupdate Tapi Tetap Aja Tidak Bisa Login, Passwor Atau Username Salah,Pake Internet Banking'pun Demikian,Payah Sekali!!! Intinya Percuma Saja Tidak Ada Perubahan!!! Kalau Ada Nilai,Tidak Diberi Bintang, Saya Kasih Ponten Tidak Ada Bintang!!!"
ANDI MULANA,1,2022-07-04 17:07:14,Sangat mudah dan cepat
andi mustika,1,2022-07-04 16:44:29,"Alhamdulillah lancar kaya, menu simpel mudah digunakan"
Ali Fery,1,2022-07-04 16:19:38,"Niat tidak bikin mobile bankingnya, selalu macet ketika mau upload video, di awal bikin saja sudah tidak stabil apalagi ketika di pakai, perbaikilah server atau maintainence ya. Buat catatan mau bikin brimo sdh di cs bri tapi selalu gagal alasan koneksi internet. Bukan internet yg masalah tapi APLIKASI BRIMO YANG BERMASALAH"
Ghabriell Ghebbz,5,2022-07-04 15:17:20,"Pendaftaran mudah gak ribet... Maaf untuk komplain,terutama transaksi pulsa dan token listrik,untuk di permudah Dan tolong di kasih fitur khusus untuk kompalin,krn untuk kompalin terlalu ribet..."
Tito,1,2022-07-04 14:37:46,"cepat, simple, bikin semua jadi mudah dan lancar"
